iter	MultiClass
0	1.498732813
1	1.31909943
2	1.177234034
3	1.068109623
4	0.9777135909
5	0.9001377227
6	0.8334890963
7	0.774978104
8	0.7245524519
9	0.6781127695
10	0.6386261891
11	0.6019611999
12	0.5726579319
13	0.5411455264
14	0.514662612
15	0.4919186477
16	0.4690140212
17	0.4505013932
18	0.4330646044
19	0.4171766468
20	0.4031109579
21	0.3888405475
22	0.3774021957
23	0.3679675883
24	0.3581338037
25	0.3497811371
26	0.3414448476
27	0.334674573
28	0.3284044191
29	0.3212113954
30	0.3155932052
31	0.3102947391
32	0.3046218688
33	0.2994879068
34	0.2947964014
35	0.2909183254
36	0.2871716443
37	0.2836617016
38	0.2805000828
39	0.2777994349
40	0.2746388551
41	0.2708954309
42	0.2685405748
43	0.2658995248
44	0.263805732
45	0.2616148434
46	0.2596088505
47	0.2575003281
48	0.256013234
49	0.2544995723
50	0.2524185523
51	0.2502341534
52	0.2482387952
53	0.2467408963
54	0.2455752607
55	0.2433434978
56	0.2418751934
57	0.2405794515
58	0.238654534
59	0.2376926094
60	0.2365990626
61	0.23501294
62	0.2336412896
63	0.2325096983
64	0.231143405
65	0.2299450121
66	0.2290544231
67	0.2282924569
68	0.2273090067
69	0.2263350105
70	0.2254241337
71	0.2247224137
72	0.2236425823
73	0.2224622179
74	0.2209571818
75	0.2198565953
76	0.2191207077
77	0.2185347086
78	0.2176839165
79	0.2168491548
80	0.2157893033
81	0.2150378143
82	0.2143033385
83	0.2136804363
84	0.2128489935
85	0.2121480683
86	0.2115973544
87	0.2109970651
88	0.2104900863
89	0.2099810419
90	0.2094572791
91	0.2092528302
92	0.2085729732
93	0.2077520424
94	0.2074093867
95	0.2069489099
96	0.2063289772
97	0.2057847444
98	0.2051389618
99	0.204353406
100	0.2036280356
101	0.2032505259
102	0.202850914
103	0.2023023185
104	0.2015389564
105	0.2010540441
106	0.2006574849
107	0.2001209349
108	0.1999115234
109	0.1993841047
110	0.1988371928
111	0.1983499457
112	0.197812893
113	0.1973836083
114	0.1970347695
115	0.19644954
116	0.1959883105
117	0.1953135601
118	0.1949905816
119	0.1947750437
120	0.1943506003
121	0.1937725366
122	0.1934049326
123	0.1930001652
124	0.192568675
125	0.1921512592
126	0.1916868405
