algorithm,model,accuracy,precision,recall,f1,roc_auc,pr_auc,average,multiclass
catboost,CatBoostClassifier,0.9311809685641461,0.2631380482381918,0.2557603431211026,0.25309928914154367,0.986832353262745,0.36199797988421345,macro,True
xgboost,XGBClassifier,0.9259416595865194,0.2502413926112941,0.2559290592386748,0.24413755846762128,0.9689767838239961,0.36474014318135906,macro,True
knn,KNeighborsClassifier,0.9185783064287737,0.25061881628008603,0.2176346359034167,0.22347203469089608,0.7281291645178537,0.2669501535996336,macro,True
svm,SVC,0.9299065420560748,0.26365797082442793,0.2277330783529869,0.22670542145271225,0.9842253542593409,0.3492404470685477,macro,True
